Datetime= 2021-05-18 15:32:03, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-05-18 15:32:12, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-05-18 15:33:54, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-05-18 15:34:03, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-05-18 15:34:38, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-06-23 11:26:04Deviceid=ae50c431629f08cd, email=gabby-prod9@mailinator.com
Datetime= 2021-06-23 11:30:37Deviceid=ae50c431629f08cd, email=gabby-prod9@mailinator.com
Datetime= 2021-06-23 11:32:10Deviceid=ae50c431629f08cd, email=gabby-prod9@mailinator.com
Datetime= 2021-06-23 11:32:33Deviceid=ae50c431629f08cd, email=gabby-prod9@mailinator.com
Datetime= 2021-06-23 11:34:35Deviceid=ae50c431629f08cd, email=gabby-prod9@mailinator.com
Datetime= 2021-06-23 11:56:29Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 11:57:04Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 11:57:09Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 11:57:39Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:02:15Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:02:20Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:05:51Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:06:55Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:07:08Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:07:46Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:08:24Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:08:51Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:10:39Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-23 12:11:01Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=Test12@technowand.com.au
Datetime= 2021-06-24 07:15:20Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 07:17:00Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 07:18:03Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 07:18:55Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 07:20:15Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 07:20:58Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 07:33:43Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
